end,month,start,value
1,0-2h,0,37
2,0-2h,1,38
3,0-2h,2,39
4,0-2h,3,39
5,0-2h,4,38
6,0-2h,5,39
7,0-2h,6,38
8,0-2h,7,37
9,0-2h,8,40
10,0-2h,9,41
11,0-2h,10,36
12,0-2h,11,37
13,0-2h,12,38
14,0-2h,13,39
15,0-2h,14,38
16,0-2h,15,38
17,0-2h,16,37
18,0-2h,17,39
19,0-2h,18,40
20,0-2h,19,37
21,0-2h,20,38
22,0-2h,21,37
23,0-2h,22,39
24,0-2h,23,35
25,0-2h,24,39
26,0-2h,25,36
27,0-2h,26,40
28,0-2h,27,39
29,0-2h,28,38
30,0-2h,29,37
1,2-4h,0,38
2,2-4h,1,39
3,2-4h,2,37
4,2-4h,3,38
5,2-4h,4,36
6,2-4h,5,40
7,2-4h,6,40
8,2-4h,7,37
9,2-4h,8,39
10,2-4h,9,38
11,2-4h,10,39
12,2-4h,11,36
13,2-4h,12,38
14,2-4h,13,37
15,2-4h,14,40
16,2-4h,15,39
17,2-4h,16,39
18,2-4h,17,37
19,2-4h,18,39
20,2-4h,19,37
21,2-4h,20,36
22,2-4h,21,41
23,2-4h,22,37
24,2-4h,23,40
25,2-4h,24,37
26,2-4h,25,38
27,2-4h,26,39
28,2-4h,27,38
29,2-4h,28,39
30,2-4h,29,37
1,4-6h,0,37
2,4-6h,1,38
3,4-6h,2,36
4,4-6h,3,39
5,4-6h,4,36
6,4-6h,5,40
7,4-6h,6,38
8,4-6h,7,39
9,4-6h,8,37
10,4-6h,9,41
11,4-6h,10,36
12,4-6h,11,41
13,4-6h,12,36
14,4-6h,13,39
15,4-6h,14,37
16,4-6h,15,38
17,4-6h,16,38
18,4-6h,17,37
19,4-6h,18,38
20,4-6h,19,38
21,4-6h,20,36
22,4-6h,21,39
23,4-6h,22,37
24,4-6h,23,36
25,4-6h,24,39
26,4-6h,25,3
27,4-6h,26,10
28,4-6h,27,1
29,4-6h,28,0
30,4-6h,29,0
1,6-8h,0,1
2,6-8h,1,1
3,6-8h,2,2
4,6-8h,3,1
5,6-8h,4,0
6,6-8h,5,1
7,6-8h,6,1
8,6-8h,7,0
9,6-8h,8,0
10,6-8h,9,2
11,6-8h,10,0
12,6-8h,11,0
13,6-8h,12,0
14,6-8h,13,2
15,6-8h,14,0
16,6-8h,15,0
17,6-8h,16,1
18,6-8h,17,1
19,6-8h,18,0
20,6-8h,19,1
21,6-8h,20,0
22,6-8h,21,1
23,6-8h,22,1
24,6-8h,23,0
25,6-8h,24,0
26,6-8h,25,1
27,6-8h,26,1
28,6-8h,27,0
29,6-8h,28,1
30,6-8h,29,0
1,8-10h,0,1
2,8-10h,1,1
3,8-10h,2,0
4,8-10h,3,0
5,8-10h,4,2
6,8-10h,5,0
7,8-10h,6,0
8,8-10h,7,1
9,8-10h,8,1
10,8-10h,9,0
11,8-10h,10,1
12,8-10h,11,0
13,8-10h,12,0
14,8-10h,13,2
15,8-10h,14,0
16,8-10h,15,0
17,8-10h,16,1
18,8-10h,17,1
19,8-10h,18,0
20,8-10h,19,1
21,8-10h,20,0
22,8-10h,21,1
23,8-10h,22,1
24,8-10h,23,0
25,8-10h,24,0
26,8-10h,25,2
27,8-10h,26,0
28,8-10h,27,0
29,8-10h,28,1
30,8-10h,29,0
1,10-12h,0,1
2,10-12h,1,1
3,10-12h,2,0
4,10-12h,3,0
5,10-12h,4,2
6,10-12h,5,0
7,10-12h,6,0
8,10-12h,7,1
9,10-12h,8,1
10,10-12h,9,0
11,10-12h,10,1
12,10-12h,11,0
13,10-12h,12,1
14,10-12h,13,1
15,10-12h,14,0
16,10-12h,15,0
17,10-12h,16,1
18,10-12h,17,1
19,10-12h,18,0
20,10-12h,19,1
21,10-12h,20,0
22,10-12h,21,145
23,10-12h,22,181
24,10-12h,23,180
25,10-12h,24,179
26,10-12h,25,183
27,10-12h,26,179
28,10-12h,27,179
29,10-12h,28,183
30,10-12h,29,183
1,12-14h,0,183
2,12-14h,1,184
3,12-14h,2,183
4,12-14h,3,182
5,12-14h,4,185
6,12-14h,5,183
7,12-14h,6,182
8,12-14h,7,184
9,12-14h,8,184
10,12-14h,9,182
11,12-14h,10,184
12,12-14h,11,183
13,12-14h,12,184
14,12-14h,13,183
15,12-14h,14,183
16,12-14h,15,183
17,12-14h,16,183
18,12-14h,17,184
19,12-14h,18,183
20,12-14h,19,183
21,12-14h,20,183
22,12-14h,21,184
23,12-14h,22,183
24,12-14h,23,182
25,12-14h,24,183
26,12-14h,25,184
27,12-14h,26,183
28,12-14h,27,183
29,12-14h,28,183
30,12-14h,29,184
1,14-16h,0,183
2,14-16h,1,183
3,14-16h,2,183
4,14-16h,3,183
5,14-16h,4,185
6,14-16h,5,182
7,14-16h,6,183
8,14-16h,7,184
9,14-16h,8,183
10,14-16h,9,183
11,14-16h,10,184
12,14-16h,11,182
13,14-16h,12,184
14,14-16h,13,184
15,14-16h,14,182
16,14-16h,15,183
17,14-16h,16,185
18,14-16h,17,182
19,14-16h,18,183
20,14-16h,19,184
21,14-16h,20,182
22,14-16h,21,184
23,14-16h,22,182
24,14-16h,23,73
25,14-16h,24,0
26,14-16h,25,2
27,14-16h,26,0
28,14-16h,27,0
29,14-16h,28,1
30,14-16h,29,1
1,16-18h,0,0
2,16-18h,1,1
3,16-18h,2,0
4,16-18h,3,1
5,16-18h,4,1
6,16-18h,5,0
7,16-18h,6,0
8,16-18h,7,1
9,16-18h,8,1
10,16-18h,9,0
11,16-18h,10,1
12,16-18h,11,0
13,16-18h,12,1
14,16-18h,13,1
15,16-18h,14,0
16,16-18h,15,0
17,16-18h,16,2
18,16-18h,17,0
19,16-18h,18,0
20,16-18h,19,1
21,16-18h,20,0
22,16-18h,21,1
23,16-18h,22,1
24,16-18h,23,0
25,16-18h,24,0
26,16-18h,25,2
27,16-18h,26,0
28,16-18h,27,0
29,16-18h,28,1
30,16-18h,29,1
1,18-20h,0,0
2,18-20h,1,1
3,18-20h,2,0
4,18-20h,3,1
5,18-20h,4,1
6,18-20h,5,0
7,18-20h,6,0
8,18-20h,7,1
9,18-20h,8,1
10,18-20h,9,0
11,18-20h,10,1
12,18-20h,11,0
13,18-20h,12,1
14,18-20h,13,1
15,18-20h,14,0
16,18-20h,15,0
17,18-20h,16,2
18,18-20h,17,0
19,18-20h,18,0
20,18-20h,19,1
21,18-20h,20,1
22,18-20h,21,0
23,18-20h,22,1
24,18-20h,23,0
25,18-20h,24,0
26,18-20h,25,2
27,18-20h,26,0
28,18-20h,27,0
29,18-20h,28,1
30,18-20h,29,1
1,20-22h,0,0
2,20-22h,1,1
3,20-22h,2,0
4,20-22h,3,1
5,20-22h,4,1
6,20-22h,5,0
7,20-22h,6,0
8,20-22h,7,2
9,20-22h,8,0
10,20-22h,9,0
11,20-22h,10,1
12,20-22h,11,0
13,20-22h,12,1
14,20-22h,13,1
15,20-22h,14,0
16,20-22h,15,0
17,20-22h,16,2
18,20-22h,17,0
19,20-22h,18,0
20,20-22h,19,1
21,20-22h,20,1
22,20-22h,21,0
23,20-22h,22,1
