end,month,start,value
1,0-2h,0,1
2,0-2h,1,1
3,0-2h,2,0
4,0-2h,3,1
5,0-2h,4,1
6,0-2h,5,1
7,0-2h,6,1
8,0-2h,7,0
9,0-2h,8,2
10,0-2h,9,1
11,0-2h,10,0
12,0-2h,11,0
13,0-2h,12,3
14,0-2h,13,0
15,0-2h,14,0
16,0-2h,15,1
17,0-2h,16,2
18,0-2h,17,0
19,0-2h,18,1
20,0-2h,19,0
21,0-2h,20,1
22,0-2h,21,2
23,0-2h,22,0
24,0-2h,23,0
25,0-2h,24,2
26,0-2h,25,1
27,0-2h,26,0
28,0-2h,27,1
29,0-2h,28,1
30,0-2h,29,1
1,2-4h,0,1
2,2-4h,1,1
3,2-4h,2,0
4,2-4h,3,2
5,2-4h,4,0
6,2-4h,5,1
7,2-4h,6,1
8,2-4h,7,0
9,2-4h,8,1
10,2-4h,9,2
11,2-4h,10,0
12,2-4h,11,0
13,2-4h,12,2
14,2-4h,13,1
15,2-4h,14,0
16,2-4h,15,1
17,2-4h,16,1
18,2-4h,17,1
19,2-4h,18,1
20,2-4h,19,0
21,2-4h,20,2
22,2-4h,21,1
23,2-4h,22,0
24,2-4h,23,0
25,2-4h,24,2
26,2-4h,25,1
27,2-4h,26,0
28,2-4h,27,1
29,2-4h,28,1
30,2-4h,29,1
1,4-6h,0,1
2,4-6h,1,0
3,4-6h,2,1
4,4-6h,3,2
5,4-6h,4,0
6,4-6h,5,0
7,4-6h,6,2
8,4-6h,7,1
9,4-6h,8,0
10,4-6h,9,2
11,4-6h,10,0
12,4-6h,11,0
13,4-6h,12,2
14,4-6h,13,1
15,4-6h,14,0
16,4-6h,15,1
17,4-6h,16,1
18,4-6h,17,1
19,4-6h,18,1
20,4-6h,19,0
21,4-6h,20,1
22,4-6h,21,2
23,4-6h,22,0
24,4-6h,23,0
25,4-6h,24,1
26,4-6h,25,2
27,4-6h,26,0
28,4-6h,27,1
29,4-6h,28,0
30,4-6h,29,2
1,6-8h,0,1
2,6-8h,1,0
3,6-8h,2,2
4,6-8h,3,2
5,6-8h,4,0
6,6-8h,5,0
7,6-8h,6,2
8,6-8h,7,1
9,6-8h,8,0
10,6-8h,9,1
11,6-8h,10,1
12,6-8h,11,0
13,6-8h,12,1
14,6-8h,13,3
15,6-8h,14,0
16,6-8h,15,0
17,6-8h,16,1
18,6-8h,17,2
19,6-8h,18,0
20,6-8h,19,1
21,6-8h,20,0
22,6-8h,21,2
23,6-8h,22,1
24,6-8h,23,0
25,6-8h,24,1
26,6-8h,25,2
27,6-8h,26,0
28,6-8h,27,0
29,6-8h,28,2
30,6-8h,29,0
1,8-10h,0,1
2,8-10h,1,1
3,8-10h,2,1
4,8-10h,3,0
5,8-10h,4,2
6,8-10h,5,0
7,8-10h,6,1
8,8-10h,7,1
9,8-10h,8,1
10,8-10h,9,0
11,8-10h,10,2
12,8-10h,11,0
13,8-10h,12,1
14,8-10h,13,2
15,8-10h,14,0
16,8-10h,15,0
17,8-10h,16,1
18,8-10h,17,2
19,8-10h,18,0
20,8-10h,19,1
21,8-10h,20,0
22,8-10h,21,2
23,8-10h,22,1
24,8-10h,23,0
25,8-10h,24,0
26,8-10h,25,3
27,8-10h,26,0
28,8-10h,27,0
29,8-10h,28,1
30,8-10h,29,2
1,10-12h,0,0
2,10-12h,1,1
3,10-12h,2,0
4,10-12h,3,1
5,10-12h,4,2
6,10-12h,5,0
7,10-12h,6,1
8,10-12h,7,1
9,10-12h,8,1
10,10-12h,9,0
11,10-12h,10,2
12,10-12h,11,0
13,10-12h,12,1
14,10-12h,13,1
15,10-12h,14,1
16,10-12h,15,0
17,10-12h,16,1
18,10-12h,17,1
19,10-12h,18,1
20,10-12h,19,1
21,10-12h,20,0
22,10-12h,21,117
23,10-12h,22,181
24,10-12h,23,179
25,10-12h,24,180
26,10-12h,25,186
27,10-12h,26,183
28,10-12h,27,182
29,10-12h,28,184
30,10-12h,29,185
1,12-14h,0,182
2,12-14h,1,184
3,12-14h,2,183
4,12-14h,3,183
5,12-14h,4,185
6,12-14h,5,183
7,12-14h,6,182
8,12-14h,7,184
9,12-14h,8,184
10,12-14h,9,182
11,12-14h,10,184
12,12-14h,11,184
13,12-14h,12,183
14,12-14h,13,184
15,12-14h,14,184
16,12-14h,15,183
17,12-14h,16,184
18,12-14h,17,183
19,12-14h,18,184
20,12-14h,19,183
